id	measurementType	measurementValue	measurementUnit
69616451-121d-4999-a82a-dbab598f6334	fork_length	300	mm
8b0f84a9-6b42-4cb3-98b3-aa4166d8d569	fork_length	290	mm
d76e329b-0b55-4fe2-b4e9-d7bcd9784b50	fork_length	290	mm
48328b25-2815-4991-afba-ed2790d68d54	fork_length	325	mm
7876c43c-6642-4f60-8f80-09d2e7437255	fork_length	220	mm
cbc40213-3454-4e8c-ac04-8c961bc180cd	fork_length	230	mm
9ad7dbfa-7139-46d8-85d7-0bdf91f97c06	fork_length	300	mm
bd2ba29f-3800-4a89-bc14-017a12fda14d	fork_length	240	mm
c931c870-1633-426d-90f8-b44e3ea36e0c	fork_length	205	mm
625d72ea-ef0d-4231-8c62-20477a7f925d	fork_length	260	mm
1063d884-2023-4e5f-b1a0-6204e1446ef6	fork_length	190	mm
3a9b8c81-a94d-45b0-a150-cf0f334c8695	fork_length	195	mm
046dacbc-ae2f-4362-af0c-b3efc63e2291	fork_length	215	mm
d0306ea1-da95-42ad-a438-4543c0974d90	fork_length	235	mm
4496f1f8-5ba3-49fe-9dd0-abf1fed96122	fork_length	170	mm
8861005b-392b-4cb6-9aa4-5b2378f1aee1	fork_length	210	mm
aa1c32f1-21f8-406e-b910-90953707290a	fork_length	220	mm
41d697d0-a696-4748-b579-a513c4b2eb7d	fork_length	145	mm
04c86830-0731-4e79-bc0c-d111f4216e77	fork_length	230	mm
8a5e729c-923a-400d-bcbc-7b7f3d608474	fork_length	185	mm
c03fc4b6-3ffb-4a54-831e-855cb8d51a59	fork_length	165	mm
85302552-9659-46f4-b2ce-a54535497ea3	fork_length	180	mm
730ffad2-4ae4-414c-b052-21e641606764	fork_length	175	mm
9ea4fb3a-3da7-4483-8265-7746bc6f7ee1	fork_length	245	mm
2951eed3-ec56-4e75-8874-b5aaaaca0627	fork_length	210	mm
eba06c8d-1ec2-49cb-804c-3f06981b198d	fork_length	250	mm
6faf7ab9-06d0-47b4-8c6d-68a2dac161b4	fork_length	235	mm
728f92c0-22cc-460d-920f-bf1c9c8c44a9	fork_length	235	mm
50f2e12d-b1f6-44a3-aabe-25c75f7c34a3	fork_length	215	mm
6dcf7f24-74e2-4b82-9a82-65a99c9cdf5d	fork_length	210	mm
fdd532a7-fb68-44ef-9d03-1c1a1343de9c	fork_length	165	mm
4fdf982a-3ce3-4d8b-a857-27d19d419a94	fork_length	125	mm
aaf6bf35-0271-4712-a7c8-68d1aaee6198	fork_length	140	mm
ca40b874-ce45-4d99-9bd0-747f1b2590e8	fork_length	165	mm
6e135fb2-b11b-4ec7-a55b-f571c4db2543	fork_length	225	mm
f3d8f56e-3972-4a15-ac6b-3d6da711ef28	fork_length	170	mm
2f94fbbf-2589-4baa-a4b6-a451890dd9c4	fork_length	165	mm
c75ef33d-d31d-429c-bda5-fbaed3765eeb	fork_length	400	mm
8a37129e-dcc8-4898-aec0-4e7b52bf4e4e	fork_length	520	mm
561635e8-dbcd-4779-a3ae-6ec2e3370fd5	fork_length	450	mm
d05002d4-b6ba-467f-ae6e-eb34cf5da2cb	fork_length	450	mm
2ef1212e-0681-4316-97c3-e120747744e7	fork_length	390	mm
8c2cb35b-7c65-445b-ac84-20831c941379	fork_length	520	mm
80e9165d-92aa-4443-b696-4a7560c0ee29	fork_length	380	mm
0d9d2186-ed96-4844-a8ce-46194e69af65	fork_length	315	mm
94b664f4-25bd-4d19-acc3-de5a8ff16f25	fork_length	215	mm
ba6b2686-06c4-4f5d-9410-5d00a633e135	fork_length	245	mm
82266fcb-0131-4f5a-8313-603943163f19	fork_length	245	mm
6fc02df2-a5c4-43ce-b422-ee8eb9e4ee3d	fork_length	255	mm
5c8d7363-c7cd-46c3-9ccd-80a3600a338f	fork_length	230	mm
5d88bdf8-9342-4c22-b4c6-e8d654037e9a	fork_length	250	mm
08ea375a-868b-472d-a9f9-056f3351245a	fork_length	230	mm
7f6e752d-06d9-407d-822e-0be68df30571	fork_length	240	mm
b628b653-070b-4e3b-956b-a2b1063d286f	fork_length	235	mm
6667f53c-8423-4b1f-9d2b-b8d7a9817c6f	fork_length	225	mm
de49fb07-feea-4992-bdc9-0826c06010d5	fork_length	265	mm
be6482b1-8dc0-437f-b7fc-48f5d41e1d25	fork_length	265	mm
a11ee920-52bd-4d02-9bab-1fa3ebba79cd	fork_length	245	mm
224c00f1-aa90-47f4-b2c0-791c29e4b802	fork_length	245	mm
7f39c1de-484f-4c38-8df2-f13c46abb331	fork_length	245	mm
03e3fdc2-607d-40b7-afa2-8cc0eb32e129	fork_length	225	mm
a4879fdd-50c7-43a7-a417-e71a8eabca56	fork_length	235	mm
b6a938c4-8bd5-44fd-a405-d26cef2645d7	fork_length	140	mm
8569734c-b1c1-4c81-beb3-22183a25089f	fork_length	375	mm
6fb064c3-57de-49e6-a4ce-2a18a3a3a5ee	fork_length	240	mm
cf96ba3b-b1f2-4557-833a-9a35f1e6293c	fork_length	230	mm
8c0e4cad-acbb-44d6-a6c6-7cf721445fd2	fork_length	240	mm
94eeb8c1-f5ca-46df-8c8d-471df0e5d7cb	fork_length	225	mm
e102a54f-1077-42e7-97cf-785b2c11af8f	fork_length	205	mm
033cbac4-12fa-4a87-b1aa-002a6852169e	fork_length	220	mm
2638db0d-098d-4dff-936e-7abd96fa8627	fork_length	265	mm
4fa61cc5-47fe-4a48-b86a-61ea4b37d939	fork_length	260	mm
2ede0231-77d1-4a9a-8b77-004d7c34699f	fork_length	170	mm
b8eea0e7-6681-4b32-bdb1-44ff1edf9eb0	fork_length	220	mm
82e1092b-0f28-4546-9652-7eaea3d94a22	fork_length	250	mm
84b45917-a7df-437c-b74c-b89aac3a8faa	fork_length	225	mm
004fa784-7ab6-4a66-b56f-4e1d8eb6c9c3	fork_length	225	mm
fad60146-4d83-4284-95a8-93f86857a669	fork_length	190	mm
1fba00b4-00a5-422e-a47f-b384589be497	fork_length	245	mm
4d1197c4-03d9-45a2-87f6-f008e2040d2f	fork_length	180	mm
bb9e3d2d-8c55-432c-9f67-8f1b0533bd2d	fork_length	235	mm
9d2faa31-6a92-4c5c-adfd-6028c962bb4d	fork_length	205	mm
269d0599-3de5-4de6-b2c7-b722fedfee98	fork_length	200	mm
c4f242c8-7ed7-4743-a107-658d12ff0498	fork_length	175	mm
5d1e023c-dcc0-435e-a4f0-01734f7804d4	fork_length	235	mm
19c27bba-a4e7-46c1-8ca9-0233c0b70d71	fork_length	245	mm
84cb9999-2981-48f3-9e1f-665471d97c60	fork_length	185	mm
a35f2e72-61ad-4b1a-a0c5-d2fa71c55175	fork_length	205	mm
c6503209-5032-473f-9ecc-7972a3c9f9cb	fork_length	145	mm
1e529360-947b-4362-8f67-fc82fef0a9bb	fork_length	230	mm
86d500d5-cdc7-4aed-8b0c-e009cd2c351a	fork_length	220	mm
b2512d5b-2f04-462b-a4fb-eeab22c8d662	fork_length	210	mm
daa4f61c-a23a-487b-a166-206659c37669	fork_length	200	mm
e1e62154-8cec-4592-8027-876e2ca46676	fork_length	210	mm
4d6d132c-5768-4760-81cf-73d869a62146	fork_length	200	mm
efb048b6-b426-467e-bb71-297ac0198d9f	fork_length	150	mm
0cd9e7f7-12d4-4426-8afb-9701d35ff314	fork_length	215	mm
ce76aa5a-57a0-4f03-be86-d5a9e72d1929	fork_length	200	mm
716ac4fd-255b-4a8b-a035-bb7e5b8bf7ee	fork_length	185	mm
d6e7009d-5436-46b1-97f5-53605ceabcdc	fork_length	175	mm
de24de91-89b5-4797-9aa7-43b9c9ffcb2f	fork_length	175	mm
20d6a253-424c-4916-8f35-fce2726319da	fork_length	165	mm
